Index,Date start,Date end,Sponsor,logo,url
1,2021-07-01,,TPP,img/tpp.svg,https://tpp-uk.com/
2,2021-09-01,,South Central West Healthcare Trust,img/scw-logo.svg,https://www.scwcsu.nhs.uk/
3,2021-09-23,,The Health Foundation,img/the-health-foundation.svg,https://www.health.org.uk/
