YYYY-MM,Events,People
2020-03,1,62
2020-04,5,145
2020-05,2,71
2020-06,4,156
2020-08,2,78
2020-09,2,98
2020-10,1,27
2020-11,2,85
2020-12,1,40
2021-01,2,106
2021-02,1,66
2021-03,2,76
2021-04,1,29
2021-05,1,49
2021-07,1,51
2021-09,1,62
2021-11,1,50
2021-12,1,40
